STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDATE,PRCP,Measurement Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Source Flag,Time of Observation
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160608,6/8/16,0.45, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160609,6/9/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160610,6/10/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160611,6/11/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160612,6/12/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160613,6/13/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160614,6/14/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160615,6/15/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160616,6/16/16,0.22, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160617,6/17/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160618,6/18/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160619,6/19/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160620,6/20/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160621,6/21/16,0,T,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160622,6/22/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160623,6/23/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160624,6/24/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160625,6/25/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160626,6/26/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160627,6/27/16,0.45, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160628,6/28/16,0.12, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160629,6/29/16,0.01, ,W,2400,0, ,W,2400,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.7889,-73.9669,20160630,6/30/16,0, ,W,2400,0, ,W,2400,0, ,W,9999
