Word,Rank,Frequency
tolerable,248, 8
reproach,248, 8
"come""",248, 8
secure,248, 8
throw,248, 8
grave,248, 8
baked,248, 8
"true""",248, 8
soft,248, 8
blunder,248, 8
forbearance,248, 8
"more""",248, 8
acting,248, 8
eldest,248, 8
afforded,248, 8
watched,248, 8
trifling,248, 8
"know""",248, 8
troublesome,248, 8
trust,248, 8
evident,248, 8
entire,248, 8
collected,248, 8
"sure""",248, 8
constantly,248, 8
conclusion,248, 8
expressed,248, 8
attending,248, 8
excuses,248, 8
conceal,248, 8
depended,248, 8
displeased,248, 8
hurried,248, 8
several,248, 8
unnecessary,248, 8
reconciled,248, 8
beloved,248, 8
decision,248, 8
shook,248, 8
leading,248, 8
amuse,248, 8
hall,248, 8
quickness,248, 8
governess,248, 8
luck,248, 8
entering,248, 8
stronger,248, 8
warmest,248, 8
"""your",248, 8
held,248, 8
exquisite,248, 8
dangerous,248, 8
introduce,248, 8
enjoy,248, 8
dreadfully,248, 8
choice,248, 8
distinction,248, 8
intimate,248, 8
inquiries,248, 8
"""campbells""",248, 8
comforts,248, 8
mei,248, 8
source,248, 8
"""emma",248, 8
number,248, 8
frequently,248, 8
ended,248, 8
communicated,248, 8
"""will",248, 8
temptation,248, 8
absent,248, 8
grace,248, 8
tears,248, 8
english,248, 8
astonished,248, 8
"""franks""",248, 8
surry,248, 8
motive,248, 8
passion,248, 8
bed,248, 8
concerns,248, 8
selina,248, 8
doubted,248, 8
cross,248, 8
"way""",248, 8
parcel,248, 8
rose,248, 8
assurance,248, 8
grieved,248, 8
acceptable,248, 8
deceived,248, 8
spectacles,248, 8
"possible""",248, 8
