,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location,drop_location
387,2,1/1/16,4:27,1/1/16,4:36,N,1,-73.94286346,40.7055397,-73.94384003,40.69804764,1,1.17,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2,1,4,4,Brooklyn,Brooklyn
388,2,1/1/16,14:42,1/2/16,0:00,N,1,-73.94873047,40.711223600000004,-73.97859192,40.74496841,5,4.45,18.0,0.0,0.5,2.82,0.0,,0.3,21.62,1,1,14,0,Brooklyn,Manhattan
389,1,1/1/16,1:26,1/1/16,1:39,N,1,-73.97911072,40.68301773,-73.94733429,40.67396927,1,2.1,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,1,1,1,1,Brooklyn,Brooklyn
390,2,1/1/16,21:09,1/1/16,21:15,N,1,-73.91487885,40.76406479,-73.91497803,40.75201797,1,1.13,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1,21,21,Queens,Queens
391,2,1/1/16,1:55,1/1/16,2:01,N,1,-73.9475708,40.81793594,-73.93989563,40.81163025,1,0.96,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1,1,2,Manhattan,Manhattan
392,2,1/1/16,18:22,1/1/16,18:24,N,1,-73.90935516,40.7449379,-73.90316772,40.74551773,2,0.33,3.5,0.0,0.5,0.0,0.0,,0.3,4.3,2,1,18,18,Queens,Queens
393,2,1/1/16,2:42,1/1/16,3:08,N,1,-73.89138031,40.74664688,-73.89669037,40.69600677,1,7.0,23.0,0.5,0.5,6.08,0.0,,0.3,30.38,1,1,2,3,Queens,Queens
394,2,1/1/16,4:56,1/1/16,5:06,N,1,-73.88287354,40.75589752,-73.90016937,40.75212479,1,1.18,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,4,5,Queens,Queens
395,2,1/1/16,17:32,1/1/16,17:36,N,1,-73.92816162,40.76324081,-73.92058563,40.76303101,1,0.54,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2,1,17,17,Queens,Queens
396,1,1/1/16,1:20,1/1/16,1:36,N,1,-74.00057220000001,40.67474365,-73.93332672,40.70991516,1,6.4,20.0,0.5,0.5,4.25,0.0,,0.3,25.55,1,1,1,1,Brooklyn,Brooklyn
397,2,1/1/16,0:51,1/1/16,1:01,N,1,-73.89102173,40.74647141,-73.86472321,40.73649216,1,1.68,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1,0,1,Queens,Queens
398,2,1/1/16,5:01,1/1/16,5:20,N,1,-73.98000336,40.68172836,-74.00408173,40.60089874,1,9.74,28.5,0.5,0.5,0.0,0.0,,0.3,29.8,2,1,5,5,Kings County,Brooklyn
399,1,1/1/16,21:00,1/1/16,21:04,N,1,-73.94460297,40.78757477,-73.93924713,40.79076767,1,0.6,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1,21,21,Manhattan,Manhattan
400,2,1/1/16,20:26,1/1/16,20:29,N,1,-73.91204834,40.7752037,-73.91506195,40.77931595,1,0.56,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,1,1,20,20,Queens,Queens
