,Unnamed: 0,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location
785,36061,1,1/1/16,7:21,1/1/16,7:49,N,1,-73.85904694,40.75788498,-73.93996429,40.79425429999999,1,8.7,28.0,0.0,0.5,0.0,0.0,,0.3,28.8,2,1.0,7,7,Queens
786,39790,2,1/1/16,12:14,1/1/16,12:14,N,5,-73.85668945,40.86820602,-73.85668945,40.86783981,1,0.01,0.1,0.0,0.0,0.0,0.0,,0.0,0.1,2,2.0,12,12,Bronx
787,51689,2,1/1/16,18:59,1/1/16,19:03,N,1,-73.93914032,40.84270859,-73.93825531,40.85073853,1,0.62,5.0,1.0,0.5,0.0,0.0,,0.3,6.8,1,1.0,18,19,Manhattan
788,13563,2,1/1/16,2:07,1/1/16,2:13,N,1,-73.95242309999998,40.81062317,-73.94933319,40.80274582,1,0.81,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1.0,2,2,Manhattan
789,1203,2,1/1/16,0:42,1/1/16,0:52,N,1,-73.87467194,40.73455429,-73.86476135,40.74739838,1,1.8,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1.0,0,0,Queens
790,36432,2,1/1/16,8:27,1/1/16,8:33,N,1,-73.9543457,40.79906082,-73.93744659,40.80210495,1,1.2,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2,1.0,8,8,Manhattan
791,49294,2,1/1/16,17:57,1/1/16,18:06,N,1,-73.89033508,40.74694061,-73.88800049,40.75901413,1,1.01,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2,1.0,17,18,Queens
792,37,2,1/1/16,0:22,1/1/16,0:39,N,1,-73.96296692,40.80411911,-73.92500305,40.82605362,1,3.32,14.5,0.5,0.5,3.16,0.0,,0.3,18.96,1,1.0,0,0,Manhattan
793,4152,2,1/1/16,0:09,1/1/16,0:27,N,1,-73.99529266,40.69054413,-73.90558624,40.70157242,1,6.27,20.5,0.5,0.5,0.0,0.0,,0.3,21.8,2,1.0,0,0,Brooklyn
794,16490,2,1/1/16,2:39,1/1/16,2:51,N,1,-73.94781494,40.80096817,-73.97991943,40.76068878,1,3.53,12.5,0.5,0.5,2.76,0.0,,0.3,16.56,1,1.0,2,2,Manhattan
795,17837,2,1/1/16,2:51,1/1/16,3:09,N,1,-73.92228699,40.70601654,-73.96475983,40.68460846,1,3.37,14.0,0.5,0.5,3.82,0.0,,0.3,19.12,1,1.0,2,3,Brooklyn
796,32240,2,1/1/16,5:59,1/1/16,6:13,N,1,-73.92407990000002,40.74413681,-73.99072266,40.72422409,6,5.37,17.5,0.5,0.5,0.0,0.0,,0.3,18.8,2,1.0,5,6,Queens
797,44354,2,1/1/16,15:19,1/1/16,15:35,N,1,-73.84369659,40.72159576,-73.86034393,40.73599625,1,1.69,12.0,0.0,0.5,2.56,0.0,,0.3,15.36,1,1.0,15,15,Queens
798,63509,2,1/1/16,23:53,1/1/16,23:57,N,1,-73.94725037,40.82504272,-73.93624878,40.82059097,1,0.67,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1.0,23,23,Manhattan
799,39299,2,1/1/16,11:54,1/1/16,11:58,N,1,-73.94211578,40.82252884,-73.94955444,40.82265854,1,0.57,5.0,0.0,0.5,1.16,0.0,,0.3,6.96,1,1.0,11,11,Manhattan
800,38740,2,1/1/16,11:00,1/1/16,11:08,N,1,-73.93946838,40.80482864,-73.96672058,40.79074097,1,2.59,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2,1.0,11,11,Manhattan
801,1264,2,1/1/16,0:48,1/1/16,0:53,N,1,-73.89868164,40.74614334,-73.88348389,40.74754333,1,0.84,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1.0,0,0,Queens
802,57387,1,1/1/16,20:04,1/1/16,20:13,N,1,-73.94055176,40.78887177,-73.92148590000002,40.82019043,3,2.7,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1.0,20,20,Manhattan
